AtcoCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
0180BAC30142,bthjgpw,,,Wellsway,en,,,,,Wellsway,en,,,NE-Bound,en,NE,N0078121,Bloomfield,Bath,,,,,,0,U,374562,163004,-2.36679,51.36552,BCT,MKD,OTH,,,,1,2013-03-11T16:46:17,2013-03-11T16:46:17,,new,act
0180BAC30143,bthjgwg,,,Wellsway,en,,,,,Wellsway,en,,,S-Bound,en,S,N0078121,Bloomfield,Bath,,,,,,0,U,374603,163080,-2.36621,51.36621,BCT,MKD,OTH,,,,1,2013-03-11T16:46:17,2013-03-11T16:46:17,,new,act
0180BAC30144,bthjmag,,,Devonshire Bldgs,en,,,,,Wellsway,en,,,N-Bound,en,N,N0078121,Bloomfield,Bath,,,,,,0,U,374617,163476,-2.36604,51.36977,BCT,MKD,OTH,,,,1,2013-03-11T16:46:17,2013-03-11T16:46:17,,new,act
0180BAC30145,bthjmam,,,Devonshire Bldgs,en,,,,,Wellsway,en,,,S-Bound,en,S,N0078121,Bloomfield,Bath,,,,,,0,U,374629,163448,-2.36586,51.36952,BCT,MKD,OTH,,,,1,2013-03-11T16:46:17,2013-03-11T16:46:17,,new,act
0180BAC30146,bthjgtp,,,Kipling Avenue,en,,,,,Wellsway,en,,,N-Bound,en,N,N0078122,Bear Flat,Bath,,,,,,0,U,374589,163756,-2.36646,51.37229,BCT,MKD,OTH,,,,1,2013-03-11T16:46:17,2013-03-11T16:46:17,,new,act
0180BAC30147,bthjgtg,,,Bear Flat,en,,,,,Wellsway,en,,,stop A,en,N,N0078122,Bear Flat,Bath,,,,,,0,U,374578,163943,-2.36663,51.37397,BCT,MKD,OTH,,,,1,2013-03-11T16:46:17,2013-03-11T16:46:17,,new,act
0180BAC30148,bthjgjp,,,Oldfield Road,en,,,,,Wells Road,en,,,N-Bound,en,N,E0035068,Oldfield Park,Bath,,,,,,0,U,374431,164090,-2.36875,51.37528,BCT,MKD,OTH,,,,1,2013-03-11T16:46:17,2013-03-11T16:46:17,,new,act
0180BAC30149,bthjgma,,,Oldfield Road,en,,,,,Wells Road,en,,,S-Bound,en,S,E0035068,Oldfield Park,Bath,,,,,,0,U,374438,164064,-2.36865,51.37505,BCT,MKD,OTH,,,,1,2013-03-11T16:46:17,2013-03-11T16:46:17,,new,act
0180BAC30150,bthjmdp,,,St Mary's Buildings,en,,,,,Wells Road,en,,,E-Bound,en,E,E0035068,Oldfield Park,Bath,,,,,,0,U,374714,164302,-2.3647,51.3772,BCT,MKD,OTH,,,,1,2013-03-11T16:46:17,2013-03-11T16:46:17,,new,act
0180BAC30151,bthjmaw,,,St Mary's Buildings,en,,,,,Wells Road,en,,,W-Bound,en,W,E0035068,Oldfield Park,Bath,,,,,,0,U,374652,164279,-2.36559,51.37699,BCT,MKD,OTH,,,,1,2013-03-11T16:46:17,2013-03-11T16:46:17,,new,act
